,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
DNA excision,0.000816215,0.000440917,0.000918907,0.002511416,0.002082094,0,0.000585138,0.001428757,0,0.000716332,0.001002865,0.000162707,0.000680272,0.000822068,0.000356824,0.000631712,0.000548632,0.000753012,0.003752345,0.002659841,0.002877321,0.003141928,0,0.00653756,0,0.006984866,0.004385965,0.003781368,0.00590013,0.005291005,0.005264389,0.0039801,0.00158303,0.006048387,0.000441452,0.002146368,0.007644919,0.001996249,0.002398401,0.005721586,7.25E-05,0.004912908,0.002173913,0.003227602,0.002454874,0.005268895,0.000443951,0.002511511,0.004177026,0.007876901,0.001372953,0.00075195,0.000455235,0.001204239,0.000761946,0.001212415,0.000182682,0.001297438,0.000689834,0.006638116,0.0040877,0.006467458,0.007597501,0.006281755,0.005788154,0.004055521,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.04953857529,1,0.6976091236,,0.04681172371,1,0.7753696754,,0.002139324727,0.003283706652,1.534926704
Neurogenesis,0.00068018,0.001837155,0.00103377,0.000684932,0.000966686,0,0,0.000519548,0.002934576,0.001193887,0.001289398,0.002277904,0,0.001187431,0.000356824,0.018214361,0.000940513,0.000753012,0.001489902,0.000752785,0.000588543,0.001300108,0.004270653,0,0.000499625,0.000116414,0.000112461,0.000343761,0.001151245,0.000835422,0.003743566,0.000568586,0.000474909,0.000159168,0.000220726,0,0.00029689,0.000302462,0.000133245,0.000166648,0.000797275,0.000837427,0.00173913,0.001224263,0.000144404,0.000181686,0.000443951,0.038719129,0.000596718,0.000366367,0.000784544,0.000469969,0.000151745,0.000361272,0.000217699,0,0.003653635,0,0.000689834,0.000214133,0.017094017,0,0.000844167,0,0.010708084,0.00097104,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.497874324,1,0.7588568326,,0.07222802281,1,0.7753696754,,0.001549035061,0.002499685697,1.613705048
Cytolysis,0,0.000881834,0,0,0,8.29E-05,0,0,0,0,0,0,0,0,0.000178412,0,0.000156752,0,0.000220726,0,0.000653937,0.000325027,0.000133458,0.0002467,0,0.014668219,0,0.000429701,0,0,0,0,0,0.000424448,0,0.000553902,0.000148445,0,0.000333111,0.000499944,7.25E-05,0.000502456,0,0,0,0,0,0.000627878,0,0,0.000686476,0.000187988,0,0,0.000217699,0,0.000182682,0.00021624,0.000344917,0.010599572,0,0.000982399,0,9.24E-05,0,0.00034272,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.9575533122,1,0.9775456006,,0.07978128188,1,0.7753696754,,0.0005447764515,0.0005156283424,0.9464952844
Menaquinone biosynthesis,6.80E-05,7.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.08349527287,1,0.6976091236,,0.08168363357,1,0.7753696754,,6.27E-06,0,0.00E+00
Tyrosine catabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110363,0,0,0,0,0,0,0.000279142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022848,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1020908158,1,0.6976091236,,0.08168363357,1,0.7753696754,,0,1.87E-05,#DIV/0!
Osteogenesis,0.001496395,0,0.000229727,0,0,0,0.000390092,0,0.000172622,0.000119389,0.000143266,0.001138952,0.000113379,0.000548045,0.000356824,0.000736997,0.000705384,0.000334672,0.000165545,0.000100371,0,0.000216685,0,0,0,0.020954598,0.000112461,0,0.000287811,0.000139237,0,0.000142146,0,0.000371392,0,0.000276951,0.000816448,0.000181477,0.000333111,0.000555494,0.000362398,0.002288968,0.000652174,0.000111297,0.000144404,0,0.000221976,0.00083717,0,0.000549551,0,0.000187988,0.00091047,0.000361272,0,0.000242483,0.000182682,0.00010812,0,0.012633833,0.000247739,8.19E-05,0,0.000184758,0.000578815,0.0011424,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.868581752,1,0.9489130123,,0.0966293002,1,0.7753696754,,0.000866806,0.0007444011394,0.8587863252
Phosphotransferase system,0.000476126,0.00154321,0.00068918,0.000913242,0,0,0.000390092,0.000779322,0,0.000716332,0,0.000488122,0.000453515,0.000730727,0,0.000736997,0.000548632,0.000920348,0.000165545,0.000602228,0.000457756,0.000108342,0,0.0002467,0,0,0.000337382,0.000859402,0.000575622,0.000556948,0,0.000142146,0.001424727,0.000424448,0.000220726,0.000553902,0.000222668,6.05E-05,0.000133245,0.000666593,0.000144959,0.00072577,0.000217391,0.000111297,0.00101083,0.000181686,0,0.00083717,0.000596718,0.00146547,0.001372953,0.000563963,0.001062215,0.000722543,0.001523892,0.000242483,0.001096091,0.000432479,0.00112098,0.000642398,0.000495479,0.000900532,0.001013,0.000554273,0.000482346,0.00039984,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1182105324,1,0.6976091236,,0.1014336658,1,0.7753696754,,0.0004503831212,0.0006120858303,1.359033679
Plasminogen activation,0.002244593,0.000661376,0,0.003196347,0.002082094,0.00132571,0.003315779,0.000259774,0,0.000358166,0.002148997,0.001138952,0.00170068,0.000822068,0.000713649,0.003474416,0.002821538,0.00041834,0.001931354,0.000451671,0.001700235,0.002708559,0.001868411,0.001480202,0.000249813,0.001513388,0.001012146,0.001546923,0.001439056,0.000556948,0.001286851,0.000426439,0.002532848,0.001114177,0.00176581,0.001038565,0.002672011,0.006896135,0.000999334,0.001499833,0,0.001395712,0.00173913,0.000111297,0.002743682,0.000726744,0.000443951,0.001465048,0.00099453,0,0.001078749,0.000939938,0.000151745,0,0,0.000484966,0.000182682,0.001838037,0,0.000642398,0.003716091,0.0002456,0,0.001570439,0.001350569,0.00165648,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.4166442973,1,0.7411934093,,0.1114679097,1,0.7753696754,,0.001435979485,0.001195868273,0.8327892462
Abscisic acid signaling pathway,0,0,0,0,0,0,0,0,0,0,0.000143266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59E-05,0,0,0,0,0,0,0,0,7.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000183184,0,0,0,0.000120424,0,0,0.000182682,0,0,0,0,0,0,9.24E-05,0.000385877,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1101133372,1,0.6976091236,,0.1267693274,1,0.7753696754,,6.95E-06,3.15E-05,4.53E+00
Pyridine nucleotide biosynthesis,0.001496395,0.000881834,0.004594533,0.000913242,0.005502677,0.003811418,0.004291008,0.006754124,0.002244088,0.002984718,0.00530086,0.003579564,0.003401361,0.002648886,0.001427297,0.008001685,0.003683674,0.003848728,0.004028253,0.003462812,0.001569448,0.004875406,0.004804484,0.004563957,0.002997752,0.001629802,0.005173189,0.00472671,0.000575622,0.003063214,0.004445484,0.002985075,0.001424727,0.002918081,0,0.004431212,0.005789356,0.002661666,0.004463691,0.005277191,0.002029427,0.002009826,0.000652174,0.001892042,0.001155235,0.001998547,0.001331853,0.002930096,0.002585778,0.000732735,0.002059429,0.002443839,0.004855842,0.005659923,0.004353978,0,0.000548045,0.003567953,0.004742606,0.003319058,0.004211569,0.003274662,0.000844167,0.00295612,0.004244646,0.005140801,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1426152583,1,0.6976091236,,0.150901307,1,0.7753696754,,0.003505819,0.00288125903,0.8218504807
Ascorbate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000758725,0,0,0,0,0,0,0,0,0,0,0,0,0.00068544,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1610242318,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,4.38E-05,#DIV/0!
Brassinosteroid signaling pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40E-05,0,0,0,0,0,0,0,0.000107066,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1613801063,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,6.09E-06,#DIV/0!
Folate biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62E-05,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1670546174,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,4.45E-06,#DIV/0!
Wnt signaling pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62E-05,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1702311877,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,4.30E-06,#DIV/0!
Transposition,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1708190728,1,0.6976091236,,0.1604800306,1,0.7753696754,,5.78E-06,0,0.00E+00
Tetrahydrobiopterin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011424,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1823707842,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,1.02E-05,#DIV/0!
Proline metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000781599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022848,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2200095032,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,3.06E-05,#DIV/0!
Growth regulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55E-05,0,0.000279142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2455083115,1,0.6976091236,,0.1604800306,1,0.7753696754,,0,1.01E-05,#DIV/0!
DNA recombination,0.001564413,0.002057613,0.000229727,0.000913242,0.000966686,0,0.004291008,0.00389661,0.000172622,0.000477555,0.00286533,0,0.004195011,0.004201681,0.000535236,0.004527269,0.004937691,0.002342704,0.001545083,0.001907056,0.000326968,0.002166847,0.000133458,0.002096953,0,0.000931315,0.003261359,0.003007906,0,0.003759398,0.008306036,0.005828003,0.000316606,0.00360781,0,0.000553902,0.000964893,0,0.007128581,0.003388512,0.000869754,0.003182224,0.003695652,0.000222593,0.004765343,0.007449128,0,0.004395144,0.008354053,0.002564572,0.001274885,0.003759752,0.002427921,0.008550096,0.000326548,0.003152279,0.000182682,0.001946156,0.000776063,0.00385439,0.006317354,0.00212853,0.002363667,0.003879908,0.006463438,0.00268464,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1185527741,1,0.6976091236,,0.169745947,1,0.7753696754,,0.002174587455,0.00306759,1.410653774
Herbicide resistance,0,0,0,0,0,0,0.000195046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001293438,0.000321199,0,0,0,0,0,0.00011424,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2427414933,1,0.6976091236,,0.1708176253,1,0.7753696754,,5.91E-06,5.41E-05,9.15E+00
Histidine metabolism,0,0,0.00068918,0,0,0,0.000195046,0,0,0,0,0,0,0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000761615,0.000148445,0,0,0,0,0.000111657,0,0,0,0,0.000887902,0,9.95E-05,0,0,0,0,0,0,0,0,0.00010812,0,0,0,0,0,0,0,0.00017136,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3244673608,1,0.6976091236,,0.1748679921,1,0.7753696754,,2.85E-05,6.94E-05,2.44E+00
Cell wall biogenesis/degradation,0.014351789,0.019179894,0.016080864,0.021232877,0.013979774,0.03347419,0.018334309,0.014547344,0.036595892,0.017788921,0.017908309,0.025870485,0.012358277,0.015893314,0.056378234,0.015687513,0.015204953,0.013135877,0.019479086,0.020174646,0.024718807,0.013109426,0.011477379,0.010114716,0.023482388,0.012223516,0.014282501,0.017875559,0.015973521,0.013784461,0.015442209,0.018336887,0.019787874,0.012468166,0.016885553,0.024648619,0.01825874,0.034722642,0.012524983,0.015498278,0.028701892,0.018758374,0.010652174,0.020033389,0.005776173,0.011809593,0.019755827,0.036207618,0.015017404,0.016852903,0.018044523,0.013065138,0.014112291,0.012885356,0.018722107,0.011639185,0.010412861,0.011568818,0.014055359,0.010813704,0.018704323,0.016864511,0.01958467,0.014503464,0.014663322,0.011595362,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2200111116,1,0.6976091236,,0.1751786795,1,0.7753696754,,0.01903835733,0.01666082794,0.8751189847
