,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Abundance,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
Meta-Protein 159,0.010032142,0.001412429,0.009006392,0.00137741,0.003954259,0.002445302,0.005506608,0.002570694,0.00419972,0.002351558,0.003958828,0.003620873,0.000773635,0.001979937,0.002820874,0.001982009,0.003390651,0.003295496,0.001241105,0.000782918,0.002594794,0.001609658,0.001592103,0.000783085,0.004855755,0.009031344,0.000295989,0.000589762,0.001441219,0.002159403,0.002318393,0.004201681,0.002665482,0.00308875,0.00290899,0.003248731,0.001136687,0.001474346,0.000264737,0.001245524,0.001570767,0.000965873,0.003038674,0.000760341,0.004397362,0.001764558,0.000259471,0.002035106,0.000547795,0.002107482,0.005232558,0.001171783,0.001380262,0,0.002264835,0.002015113,0.002430939,0.000611901,0.002484338,0.001546682,0,0.001154601,0.000905387,0.001404823,0.005798222,0.000815328,0.160873476,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01337114548,1,0.4787624411,,0.01284737311,1,0.4961271955,,0.003055803273,0.001819150485,0.5953100781
Meta-Protein 1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284698,0,0.000402414,0,0,0,0,0,0,0,0,0,0,0,0,0.00249342,0,0,0,0,0,0,0.000482936,0,0.000152068,0,0,0,0,0,0,0,0,0,0.000168322,0.000301978,0.000251889,0.000220994,0,0.000972132,0.000140607,0,0,0,0,0,8.15E-05,0.005952992,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.09892895382,1,0.4787624411,,0.0142772767,1,0.4961271955,,2.08E-05,0.0001595720848,7.66E+00
Meta-Protein 67,0.005649167,0.007062147,0.007699012,0.003443526,0.00630544,0.006949807,0.004405286,0.001028278,0.000699953,0.009259259,0.000791766,0.006602769,0.002939811,0.006467793,0.007522332,0.005031255,0.002664083,0.003295496,0.00463346,0.004768683,0.004268854,0.002682763,0.007164464,0.001252937,0.003713225,0.003010448,0.002071925,0.005779665,0.007617871,0.00333726,0.001236476,0.001145913,0.00821857,0.004942,0.001800803,0.001522843,0.004262575,0.009534107,0.002117896,0.001245524,0,0.00128783,0,0.003041363,0.005396762,0.005545752,0.000778412,0.001017553,0.003149822,0.002897787,0.013953488,0.004921491,0.006901311,0.003198115,0.004076702,0,0.001104972,0.002906532,0.000864118,0.001968504,0.001265365,0.005888466,0.005205976,0.001287755,0.000257699,0.001956788,0.253018004,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.04967983883,1,0.4787624411,,0.01481991203,1,0.4961271955,,0.004506657394,0.003160554879,0.7013079989
Meta-Protein 560,9.74E-05,0.000201776,0.000145264,0,0,0,0,0.00017138,0,0,0,0.000212993,0.000154727,0,0,0,0,0.000122055,8.27E-05,0.000213523,0.000167406,0.000670691,0,0,0,0.000177085,0,0,0,0,0,0,0,0,0.000277047,0,0,0,0,0,8.27E-05,0,0,0,0,0,0,0,0,0,0,0.000117178,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15E-05,0.002975469,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.0299758678,1,0.4787624411,,0.01507227553,1,0.4961271955,,7.32E-05,1.69E-05,2.31E-01
Meta-Protein 17,0.000194799,0.001008878,0,0,0,0.001029601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083114,0.000101523,0,0.00019658,0,0,0,0.000321958,0,0.000304136,0,0,0.000259471,0,0,0.00052687,0,0.000585892,0,0.000168322,0.000754945,0,0,0,0.000864118,0,0,0.00011546,0,0,0,0,0.007263691,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1826872219,1,0.4787624411,,0.01514869518,1,0.4961271955,,6.77E-05,0.0001524368182,2.25E+00
Meta-Protein 1571,0,0,0,0,0.000427487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000496442,0.000142349,0.000251109,0.002816901,0.000318421,0.000469851,0,0.001947937,0.000443984,0.000117952,0.002264772,0.001766784,0.000618238,0.002482811,0,0.000480472,0.00041557,0.001218274,0.000947239,0.000589739,0.00061772,0,0.000330688,0.000482936,0.000552486,0.002889294,0.001399161,0.001764558,0.000259471,0.001526329,0,0.001844046,0,0,0,0,0,0,0,0,0.000864118,0.002109111,0.000542299,0.00034638,0.003168855,0.001170686,0.000773096,0.001141459,0.039999028,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1109244326,1,0.4787624411,,0.01702785848,1,0.4961271955,,0.0004413647879,0.0007707268788,1.74623554
Meta-Protein 197,0.00350638,0.001513317,0.004357931,0,0.003526771,0.004761905,0.002753304,0.002227935,0.003733084,0.002057613,0.002375297,0.002342918,0,0.001715945,0.00329102,0,0.001695326,0.001830831,0.001985769,0.002633452,0.002511091,0,0.001751313,0.000626468,0.002570694,0.003718789,0.001775936,0.001769285,0.002058884,0.000785238,0,0.00210084,0.003331853,0.001441417,0.002770467,0.000304569,0,0.003341852,0.000794211,0.002023976,0.003141534,0,0.000552486,0.001064477,0,0.001008319,0.002854177,0,0.001369488,0.001317176,0.003052326,0.001757675,0.003450656,0,0.00150989,0,0.002872928,0.000305951,0.001080147,0.002671541,0,0.001270061,0.002489814,0.000468274,0,0.000978394,0.113200995,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01321662566,1,0.4787624411,,0.01784985478,1,0.4961271955,,0.002100278455,0.001330054727,0.6332754233
Meta-Protein 3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427046,0.000502218,0,0,0.000469851,0,0,0.000295989,0.001179523,0.002470661,0,0.000618238,0,0,0.000274556,0,0,0.00170503,0.000491449,0.000529474,0.000311381,0,0,0.001381215,0.000912409,0.0009994,0,0.001556824,0.001017553,0,0.001053741,0,0,0,0,0,0,0,0,0.000432059,0,0.001084599,0,0.001131734,0,0.000515398,0.000489197,0.019849544,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.06122329745,1,0.4787624411,,0.01793014571,1,0.4961271955,,0.0001807129091,0.0004207884545,2.328491399
Meta-Protein 514,0.000779195,0.001109766,0.002033701,0.00137741,0.001068719,0.0003861,0.001927313,0.001542416,0.001633224,0.001028807,0.001187648,0.001277955,0.000309454,0.001583949,0.00164551,0.002134472,0.000726568,0.000244111,0.001654807,0.001281139,0.001757763,0.000134138,0,0.000469851,0.000571265,0.000177085,0.000591979,0.000353857,0.00123533,0.000196309,0.000309119,0,0.000666371,0.001784611,0,0.000507614,0.000473619,0.000982898,0.001764914,0.001011988,0.000661376,0.002334192,0,0.000456204,0.00039976,0.000504159,0,0.000254388,0,0,0.001453488,0.000468713,0.000690131,0.000168322,0.001358901,0,0.000441989,0.000611901,0.000648088,0,0.000361533,0.00034638,0.00067904,0.000234137,0.000128849,0.00057073,0.050693262,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01809849167,1,0.4787624411,,0.0201179349,1,0.4961271955,,0.0009513736667,0.0005847856061,0.6146749974
Meta-Protein 1906,0,0,0,0,0,0,0.00027533,0,0,0,0,0,0,0.000263992,0,0,0.000121095,0.000122055,0,0,0,0,0,0.000156617,0,0,0,0,0,0,0.000463679,0.000190985,0,0,0,0,0,0,8.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001681999,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.02215404523,1,0.4787624411,,0.02103163277,1,0.4961271955,,4.83E-05,2.67E-06,5.54E-02
Meta-Protein 8896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001824818,0,0,0,0,0,0.001317176,0,0.00210921,0,0,0,0,0,0,0.002592353,0,0,0,0,0,0,0.000326131,0.008169688,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.04130513343,1,0.4787624411,,0.0219083866,1,0.4961271955,,0,0.000247566303,#DIV/0!
Meta-Protein 8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001216545,0,0,0,0,0,0.000263435,0,0.000937427,0,0,0,0,0,0,0.000972132,0,0,0,0,0,0,0.000326131,0.00371567,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.04452826776,1,0.4787624411,,0.0219083866,1,0.4961271955,,0,0.0001125960606,#DIV/0!
Meta-Protein 2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203046,0.000663067,0,0,0,0,0.000643915,0,0.000152068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432059,0,0,0,0,0,0,0,0.002094155,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.04453302271,1,0.4787624411,,0.0219083866,1,0.4961271955,,0,6.35E-05,#DIV/0!
Meta-Protein 8895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304136,0,0,0,0,0,0.000263435,0,0.00070307,0,0,0,0,0,0,0.001188162,0,0,0,0,0,0,0.000407664,0.002866467,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.05366266661,1,0.4787624411,,0.0219083866,1,0.4961271955,,0,8.69E-05,#DIV/0!
Meta-Protein 3996,0,0,0,0,0.00117559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167406,0.000268276,0,0,0,0.000885426,0,0,0.001647107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004143806,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.06219150966,1,0.4787624411,,0.0219083866,1,0.4961271955,,0.0001255698485,0,0
Meta-Protein 265,0.000779195,0.000605327,0,0.002754821,0,0,0,0,0,0,0.000791766,0,0,0,0.000470146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005401255,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.07789216939,1,0.4787624411,,0.0219083866,1,0.4961271955,,0.0001636743939,0,0
Meta-Protein 2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138523,0,0,0,0,0.00015569,0.000330688,0,0,0.000152068,0,0,0,0,0.001369488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002146458,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1361665387,1,0.4787624411,,0.0219083866,1,0.4961271955,,0,6.50E-05,#DIV/0!
Meta-Protein 1109,0,0.000403551,0.000145264,0,0,0,0,0,0,0.000587889,0,0.000425985,0.000618908,0,0,0,0,0,0.000165481,0.000142349,0.000251109,0,0,0,0,0,0,0,0.000823554,0,0,0,0.000444247,0,0,0,0,0,0,0,0,0.000241468,0,0,0,0,0,0,0,0,0,0,0.000230044,0,0,0,0,0,0,0,0,0,0,0,0,8.15E-05,0.004561382,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.01313412995,1,0.4787624411,,0.02202115868,1,0.4961271955,,0.0001214647576,1.68E-05,1.38E-01
Meta-Protein 524,9.74E-05,0,0.000435793,0,0,0,0,0,0,0,0,0,0,0,0,0.002591859,0,0,8.27E-05,7.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137278,0.00041557,0.000406091,0.000473619,0,8.82E-05,0,0,0.000482936,0,0.000456204,0,0,0,0.000254388,0,0.000263435,0.000145349,0,0,0,0,0,0,0.000305951,0.000108015,0,0,0,0,0,0,0.000407664,0.007223712,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.8130571583,1,0.891093738,,0.02209747394,1,0.4961271955,,9.94E-05,0.0001195377485,1.20E+00
Meta-Protein 1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05E-05,0,0.000608273,0,0,0.001037883,0,0,0,0,0,0,0,0.001056923,0,0.000441989,0.000305951,0.000432059,0,0,0,0,0,0,0,0.004433417,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.04625035336,1,0.4787624411,,0.02662792832,1,0.4961271955,,1.42E-05,0.000120108103,8.44E+00
Meta-Protein 951,0,0.001614205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000605473,0.000244111,0,0,0.00083703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138523,0,0,0,0,0,0,0.001609788,0,0.000304136,0,0,0,0,0.000410846,0.00052687,0.000581395,0.000468713,0,0.000336644,0.001811868,0,0,0,0.002484338,0,0,0.000692761,0,0,0,0.000489197,0.013155899,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.09578847279,1,0.4787624411,,0.02964652079,1,0.4961271955,,0.0001000248182,0.0002986387576,2.985646593
Meta-Protein 87,0.014317717,0.014124294,0.016560139,0.017561983,0.015068932,0.026640927,0.013491189,0.023136247,0.009332711,0.018077601,0.007323832,0.007241747,0.014853783,0.011219641,0.015279737,0.009147736,0.014531364,0.017942146,0.020933311,0.020569395,0.011969532,0.016498994,0.016557873,0.016758027,0.008854613,0.019125199,0.02471511,0.023472517,0.020794729,0.019630938,0.016537867,0.019289534,0.019324745,0.014551445,0.005125364,0.018172589,0.011840485,0.011106743,0.013766325,0.014167834,0.003885582,0.010624598,0.001933702,0.010492701,0.014391365,0.015376859,0.00363259,0.001271941,0.015064366,0.015279241,0.013081395,0.012538083,0.013802622,0.020871907,0.019477578,0.002770781,0.009723757,0.016827291,0.01382588,0.016732283,0.025307303,0.024939383,0.02376641,0.016857879,0.014173431,0.01361598,0.979879805,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.02844883379,1,0.4787624411,,0.03054556577,1,0.4961271955,,0.01639042758,0.01330289979,0.8116261596
Meta-Protein 370,0.000876595,0.001311542,0.001307379,0,0.001282462,0,0,0.000685518,0.003966402,0.001469724,0.00138559,0.002981896,0,0.001715945,0.000470146,0,0.001453136,0.000732332,0,0.000142349,0.000669624,0,0.001432893,0,0.000571265,0.000177085,0,0.000471809,0.000823554,0.000981547,0.000463679,0.000763942,0.000666371,0,0.000277047,0,0,0.000393159,0,0,0.000909392,0,0.002209945,0.001672749,0,0.00025208,0.000518941,0,0.000821693,0.00052687,0.000436047,0.000585892,0.000230044,0,0,0,0.001104972,0,0.000864118,0.000140607,0,0,0.001131734,0,0.000515398,0.001141459,0.04053493,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.03347945212,1,0.4787624411,,0.0326892001,1,0.4961271955,,0.0008122056061,0.0004161256667,0.5123403034
Meta-Protein 212,0.000973994,0.002017756,0,0,0.00288554,0.002187902,0.001651982,0.000342759,0.000933271,0.000881834,0.001583531,0.001277955,0.000928361,0.001583949,0.003526093,0,0.000484379,0.001098499,0.000827404,0.000142349,0.000167406,0.000938967,0.001751313,0,0.001999429,0.000885426,0,0,0.002470661,0.000588928,0,0,0.002221235,0,0.001939327,0.000812183,0.000568343,0.001474346,0.000176491,0,0.000330688,0.000643915,0.000552486,0,0.001998801,0.002016637,0,0,0,0.002107482,0.00247093,0,0.003680699,0.000336644,0.000301978,0,0,0,0,0,0,0.00023092,0.001810774,0,0,0,0.05580357,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1020550326,1,0.4787624411,,0.03433085019,1,0.4961271955,,0.001040937061,0.0006500801212,0.6245143398
Meta-Protein 921,0,0.002623083,0.000145264,0,0,0,0,0.000342759,0,0,0,0,0,0,0,0,0,0,0.000413702,0,0.000920733,0,0,0,0,0,0,0,0,0,0,0,0,0.000205917,0.00083114,0.000507614,0,0,0,0.000467071,0.00082672,0.002495171,0,0,0,0,0,0,0,0,0.000872093,0.000234357,0,0.000168322,0.000905934,0,0,0,0.001296176,0,0,0.00011546,0,0,0,0.000163066,0.013534582,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2636550852,1,0.4787624411,,0.03495643314,1,0.4961271955,,0.0001347133636,0.0002754254848,2.044529788
Meta-Protein 600,0,0.000605327,0,0,0.000748103,0.001158301,0,0,0,0.000146972,0,0.00085197,0.000154727,0.000527983,0.001175364,0,0,0.000366166,0,0,0,0.000536553,0.000477631,0,0.001142531,0.000708341,0,0,0.001029442,0,0,0,0.001332741,0,0.00083114,0,0,0.000491449,0,0,0,0,0,0,0.00039976,0,0,0,0,0.00052687,0.000726744,0,0.000920175,0,0.000150989,0,0,0,0,0,0,0,0,0.000117069,0,0,0.015126348,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.02660886569,1,0.4787624411,,0.04032105161,1,0.4961271955,,0.0003321864242,0.0001261877576,0.3798703028
